timestamps,TP9,AF7,AF8,TP10,Right AUX
1587068789.264,-42.480,335.938,116.211,-3.418,0.000
1587068789.268,-110.840,-179.199,-263.184,-26.367,0.000
1587068789.272,-12.695,-494.629,-358.887,-21.484,0.000
1587068789.276,74.219,115.723,62.012,-6.348,0.000
1587068789.280,-1.953,520.508,209.961,-0.977,0.000
1587068789.284,-122.070,-209.961,-265.625,-25.879,0.000
1587068789.288,-67.383,-382.812,-286.621,-43.945,0.000
1587068789.292,38.574,383.789,211.426,-35.645,0.000
1587068789.296,0.488,420.898,112.305,-19.531,0.000
1587068789.300,-96.191,-416.992,-404.297,-26.367,0.000
1587068789.303,-103.027,-743.164,-568.848,-26.855,0.000
1587068789.307,-8.789,125.000,0.000,-39.551,0.000
1587068789.311,24.902,708.984,293.945,-55.176,0.000
1587068789.315,-81.055,-183.105,-250.977,-26.855,0.000
1587068789.319,-131.348,-782.227,-556.152,-26.367,0.000
1587068789.323,-24.414,136.230,36.133,-43.945,0.000
1587068789.327,51.270,662.598,282.715,-31.738,0.000
1587068789.331,-51.758,-35.156,-150.391,-35.156,0.000
1587068789.335,-151.855,-542.480,-455.566,-48.340,0.000
1587068789.339,-73.730,-6.836,-81.055,-46.387,0.000
1587068789.342,31.738,469.238,199.707,-38.086,0.000
1587068789.346,-26.855,204.102,2.441,-34.180,0.000
1587068789.350,-142.090,-466.309,-361.328,-43.945,0.000
1587068789.354,-104.492,-445.801,-377.441,-54.199,0.000
1587068789.358,23.438,98.633,-44.922,-38.086,0.000
1587068789.362,17.090,-99.121,-91.797,-18.066,0.000
1587068789.366,-126.953,-408.691,-354.004,-38.574,0.000
1587068789.370,-126.953,-166.504,-294.434,-53.223,0.000
1587068789.374,2.441,82.031,-55.176,-43.457,0.000
1587068789.378,36.621,281.738,95.703,-19.531,0.000
1587068789.382,-63.477,197.266,47.363,-11.230,0.000
1587068789.385,-118.164,-92.773,-150.391,-23.926,0.000
1587068789.389,-9.766,-125.977,-149.414,-24.902,0.000
1587068789.393,57.129,252.930,109.375,-10.254,0.000
1587068789.397,-28.809,161.133,-43.945,-4.395,0.000
1587068789.401,-120.117,-313.965,-366.699,-33.691,0.000
1587068789.405,-48.828,-422.363,-387.695,-28.320,0.000
1587068789.409,58.594,-41.504,-106.445,-15.137,0.000
1587068789.413,-10.742,291.992,125.977,-23.926,0.000
1587068789.417,-120.117,-124.512,-212.891,-22.949,0.000
1587068789.421,-79.590,-548.340,-431.641,-30.273,0.000
1587068789.425,36.133,-194.824,-87.402,-37.598,0.000
1587068789.428,28.809,381.348,198.242,-32.715,0.000
1587068789.432,-89.355,-1.953,-184.082,-33.691,0.000
1587068789.436,-102.051,-510.254,-488.281,-42.480,0.000
1587068789.440,5.371,-53.223,-60.547,-45.410,0.000
1587068789.444,40.527,297.363,124.023,-30.762,0.000
1587068789.448,-58.105,-90.332,-202.148,-23.926,0.000
1587068789.452,-108.398,-460.449,-380.371,-30.762,0.000
1587068789.456,-34.668,4.395,5.371,-45.410,0.000
1587068789.460,34.180,644.043,267.090,-44.922,0.000
1587068789.464,-48.340,257.812,3.418,-35.156,0.000
1587068789.467,-144.043,-603.027,-422.852,-46.387,0.000
1587068789.471,-83.496,-330.566,-241.699,-50.293,0.000
1587068789.475,27.832,624.512,263.184,-37.598,0.000
1587068789.479,3.906,334.961,37.598,-18.066,0.000
1587068789.483,-116.699,-416.504,-398.438,-29.785,0.000
1587068789.487,-100.586,-216.309,-259.766,-48.828,0.000
1587068789.491,19.043,246.582,88.379,-38.574,0.000
1587068789.495,18.555,148.438,-9.766,-13.184,0.000
1587068789.499,-95.703,-589.355,-429.688,-9.766,0.000
1587068789.503,-126.953,-437.988,-325.195,-40.039,0.000
1587068789.507,-13.672,321.289,65.430,-43.945,0.000
1587068789.510,49.316,238.281,38.574,-20.020,0.000
1587068789.514,-49.316,-321.777,-364.746,-19.531,0.000
1587068789.518,-123.047,-393.066,-414.551,-38.086,0.000
1587068789.522,-45.410,-72.754,-164.062,-43.945,0.000
